part_code,description,material,quantity,unit_price,total_price,remarks
J364,"11, I, 981097",I,1,,,
J366,"34, P, 22733982",P,1,,,
J368,"35, H, 981097",H,1,,,
J369,"26, C, 981097",C,1,,,
J370,"24, C, 981097",C,1,,,
J371,"20, H, 981097",H,1,,,
J372,"16, I, Identity",I,1,,,
J381,"10, L, 981097",L,1,,,
J382,"13, L, 981097",L,1,,,
J383,"35, G, 981097",G,1,,,
J383,"35, G, 981097",G,1,,,
J385,"33, F, 981097",F,1,,,
J385,"34, F, 981097",F,1,,,
J385,"33, F, 981097",F,1,,,
J387,"33, E, 981097",E,1,,,
J387,"33, E, 981097",E,1,,,
J389,"11, I, 981100",I,1,,,
J392,"33, G, 25311195",G,1,,,
J392,"31, F, 25311195",F,1,,,
J426,"36, C, 980881",C,1,,,
J433,"37, C",,1,,,981097
J433,"38, F",,1,,,981097
J435,"34, C",,1,,,981097
J435,"35, C",,1,,,981097
J444,"39, F",,1,,,981097
J445,"34, C",,1,,,20757796
J454,"37, G",,2,,,981097
J454,"38, G",,2,,,981097
J455,"38, F",,1,,,981097
J455,"37, F",,1,,,981097
J456,"36, G",,1,,,981097
J466,"35, D",,1,,,95580004
J467,"36, D",,1,,,981097
J468,"36, C",,1,,,981097
J478,"36, C",,1,,,95580004
J478,"35, C",,1,,,95580004
J499,"35, C",,1,,,981097
J500,"41, M",,1,,,981097
J502,"38, H",,1,,,95580004
J503,"39, H",,1,,,95580004
J504,"39, H",,1,,,95580004
J504,"40, H",,1,,,95580004
J505,"39, I",,1,,,95580004
J506,"38, H",,1,,,95580004
J509,"18, G",,1,,,980881
J510,"13, M",,2,,,981097
J510,"12, K",,1,,,981097
J511,"10, M",,3,,,981097
J511,"10, L",,1,,,981097
J511,"11, K",,1,,,981097
J515,"11, J",,1,,,981097
J515,"10, J",,1,,,981097
J517,"40, I",,1,,,95580004
J519,"41, H",,1,,,95580004
J520,"29, L",,1,,,981098
J521,"21, M",,1,,,981098
J526,"36, O",,1,,,20730950
J528,"35, O",,1,,,21540433
J529,"35, O",,1,,,984546
J530,"7, L",,1,,,981098
J531,"19, F",,1,,,981101
J535,"20, D",,1,,,981102
J536,"20, D",,1,,,981098
J537,C,981099,20,,,
J550,F,22011090,29,,,
J555,K,981097,25,,,
J556,J,981097,25,,,
J557,O,981097,37,,,
J558,N,981097,15,,,
J559,N,25311195,15,,,
J565,C,981097,19,,,
J565,C,981097,20,,,
J565,C,981097,20,,,
J567,C,994655,19,,,
J568,F,95580004,37,,,
J568,F,95580004,38,,,
J575,K,21072815,39,,,
J600,G,949278,28,,,
J601,H,95580004,40,,,
J602,H,981097,40,,,
J603,H,95580004,34,,,
J615,K,981100,13,,,
J616,K,981097,12,,,
J617,K,981100,10,,,
J618,K,981100,9,,,
J619,L,981100,7,,,
J620,K,981100,14,,,
J622,H,82682328,16,,,
J623,I,994576,11,,,
J624,J,994576,11,,,
J627,C,981097,23,,,
J630,I,981100,12,,,
J632,G,21453210,17,,,
J632,E,21453210,16,,,
J633,K,21453210,26,,,
J633,K,21453210,26,,,
J634,L,21453210,26,,,
J634,J,21453210,24,,,
J635,M,21453210,28,,,
J635,J,21453210,24,,,
J636,G,PASSIVES_SET,34,,,
J637,K,21453210,14,,,
J637,M,21453210,22,,,
J655,K,95580004,28,,,
J655,K,95580004,30,,,
J655,K,95580004,29,,,
J655,K,95580004,29,,,
J656,K,981101,29,,,
J666,F,95580004,8,,,
J666,G,95580004,7,,,
J676,F,20757796,7,,,
J680,"7, K",,1,,,981097
J680,"7, K",,1,,,981097
J681,"9, J",,1,,,981097
J681,"9, J",,1,,,981097
J682,"8, I",,1,,,981097
J682,"8, I",,1,,,981097
J682,"8, I",,1,,,981097
J683,"8, K",,1,,,981097
J685,"9, I",,1,,,983021
J685,"9, I",,1,,,983021
J686,"8, I",,1,,,983021
J686,"8, I",,1,,,983021
J688,"9, J",,1,,,980881
J788,"30, J",,1,,,981099
J789,"29, J",,1,,,95580004
J789,"30, J",,1,,,95580004
J789,"30, J",,1,,,95580004
J800,"40, K",,1,,,60111112
J871,"10, D",,1,,,980881
J878,"20, L",,1,,,95580004
J882,"10, F",,1,,,25375469
J899,"21, F",,1,,,95580004
J976,"14, E",,1,,,981097
K01,"29, H",,1,,,21900381
K02,"29, H",,1,,,21900381
K03,"28, H",,1,,,21900381
K05,"28, H",,1,,,21900381
K06,"27, H",,1,,,21900381
K07,"26, H",,1,,,21900381
K08,"26, H",,1,,,21900387
K09,"25, H",,1,,,21900381
K10,"25, H",,1,,,21900381
K11,"24, H",,1,,,21900387
K12,"24, H",,1,,,21900381
K13,"23, H",,1,,,21900381
K14,"28, H",,1,,,20374662
K15,"28, H",,1,,,21900615
K16,"27, H",,1,,,21900615
K17,"24, H",,1,,,21900613
K17_SUPPLY,"28, G",,1,,,881496
K18,"23, H",,1,,,21900613
K19,"43, I",,1,,,21900381
K20,"42, I",,1,,,21900381
K21,"43, I",,1,,,21900381
K22,"42, I",,1,,,21900387
K23,"43, G",,1,,,21900381
K24,"43, G",,1,,,21900387
K25,"42, G",,1,,,21900387
K26,"40, G",,1,,,21900387
K27,"42, G",,1,,,21900381
K28,"40, G",,1,,,21900387
K29,"41, G",,1,,,21900387
K30,"41, I",,1,,,21900387
KB1,"39, G",,1,,,21900381
KB2,"40, I",,1,,,21900381
KB3,"39, I",,1,,,21900381
KB4,"38, G",,1,,,21900613
KB5,"41, I",,1,,,21900387
R04A,"38, F",,1,,,995836
R34,"22, G",,1,,,60110512
R35,"23, G",,1,,,60110512
RD_plug,"9, I",,1,,,60114566
RD_socket,"8, I",,1,,,24487831
RE_plug,"9, I",,1,,,60114566
RE_socket,"8, I",,1,,,24487831
S02.A,"15, G",,1,,,9520999
S02.B,"12, F",,1,,,995851
S05D,"22, M",,1,,,995850
S11,"19, C",,1,,,995850
S15,"14, F",,1,,,996213
S22,"6, L",,1,,,25592279
S28A,"30, K",,1,,,995850
S28B,"29, L",,1,,,995850
S58,"17, I",,1,,,996212
S58A,"12, I",,1,,,996212
S67A,"31, J",,1,,,995850
S75,"17, L",,1,,,995850
S130,"21, M",,1,,,995850
S188,"17, M",,1,,,995850
S189,"20, N",,1,,,995850
S198,"31, K",,1,,,995850
S223,"19, F",,1,,,995850
S243,"19, D",,1,,,995850
S244,"19, D",,1,,,995850
S245,"19, C",,1,,,995850
SF1,"28, G",,1,,,20378932
SF2,"28, G",,1,,,20378932
SF3,"29, G",,1,,,20378934
SF4,"29, G",,1,,,20378935
SF5,"29, G",,1,,,20378936
SF6,"29, G",,1,,,20378938
TI_A,"26, L",,1,,,968110
TI_B,"25, L",,1,,,968109
U06B20.A,"16, E",,1,,,20367825
V01,"12, M",,1,,,20382270
V01.A,"13, M",,1,,,949597
V01.B,"13, M",,1,,,946366
20382270,V02,M,1,,,
949597,V02.A,M,1,,,
946366,V02.B,M,1,,,
20382270,V03,L,1,,,
949597,V03.A,L,1,,,
946366,V03.B,M,1,,,
20382270,V04,F,1,,,
949597,V04.A,F,1,,,
946366,V04.B,F,1,,,
20382270,V05,E,1,,,
949597,V05.A,E,1,,,
946366,V05.B,E,1,,,
20382270,V06,G,1,,,
949597,V06.A,G,1,,,
946366,V06.B,G,1,,,
20382270,V13,K,1,,,
949597,V13.A,K,1,,,
946366,V13.B,K,1,,,
60110514,X01,D,1,,,
20846104,X53,H,1,,,
996601,X74F,M,1,,,
21156224,X115.A(1),E,1,,,
60110471,X149,L,1,,,
21007439,XAB,I,1,,,
21007439,XAL,G,1,,,
21007439,XATC,G,1,,,
21007439,XBB1,I,1,,,
25392050,XBB2,G,1,,,
21007439,XBB3,G,1,,,
995638,XC201_socket,O,1,,,
25550923,XC202,O,1,,,
25550932,XC203_01,P,1,,,
995639,XC204_socket,P,1,,,
995637,XC205_socket,P,1,,,
995645,XC206_socket,P,1,,,
21138495,XC207A,P,1,,,
995644,XC208_socket,P,1,,,
995636,XC210_socket,O,1,,,
21007439,XDRL,G,1,,,
21253786,XF_B,I,1,,,
21007439,XFG,I,1,,,
21007439,XPB,I,1,,,
995660,XS1_10,K,1,,,
SPLICE01,XS1_211,K,1,,,
25562773,XS2_211,K,1,,,
995660,XS2_965,J,1,,,
995660,XS3_10,L,1,,,
995660,XS8_10,F,1,,,
XS163,"33, I, 995660",I,1,,,
XS164,"29, J, 995660",J,1,,,
XS165,"18, J, 995660",J,1,,,
XS166,"18, I, 995660",I,1,,,
XS167,"34, I, 995660",I,1,,,
XS168,"13, K, 995660",K,1,,,
XS169,"34, I, 995660",I,1,,,
XS170,"13, J, 995660",J,1,,,
XS171,"9, H, 995660",H,1,,,
XS172,"39, M, 995660",M,1,,,
XS173,"9, G, 995660",G,1,,,
XS174,"9, F, 993591",F,1,,,
XS175,"42, K, 995660",K,1,,,
XS176,"43, K, 995660",K,1,,,
XS177,"38, M, 995660",M,1,,,
XS179,"43, L, 995660",L,1,,,
XS180,"42, L, 995660",L,1,,,
XS190,"27, K, 995660",K,1,,,
XS191,"34, G, 995660",G,1,,,
XS192,"37, J, 995660",J,1,,,
XS196,"31, E, 995660",E,1,,,
XS199,"42, L, 995660",L,1,,,
XS201,"34, G, 995660",G,1,,,
XS202,"34, G, 995660",G,1,,,
XS203,"35, H, 995660",H,1,,,
XS205,"36, H, 995660",H,1,,,
XS206,"36, H, 995660",H,1,,,
XS207,"34, J, 995660",J,1,,,
XS208,"34, J, 995660",J,1,,,
XS209,"31, G, 995660",G,1,,,
XS211D,"11, K, 993591",K,1,,,
XS212E,"40, M, 995660",M,1,,,
XS213P,"30, J, 995660",J,1,,,
XS214L,"31, J, 995660",J,1,,,
XS256,"20, C, 995660",C,1,,,
XS276,"9, K, 995660",K,1,,,
XS277,"9, K, 995660",K,1,,,
XS333,"37, L, 995660",L,1,,,
XS400,"15, K, 995660",K,1,,,
XS1665,"20, G, 995660",G,1,,,
XS1666,"20, G, 995660",G,1,,,
Y41,"12, H, 60110490",H,1,,,
